Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,1.0000,0.0077,0.0184,0.0184,0.1903,NaN,0.1901
moead_cheby,1.0000,0.0078,0.0185,0.0185,0.1872,NaN,0.1882
moead_mod_linear,1.0000,0.0079,0.0176,0.0176,0.1907,NaN,0.1902
moead_mod_cheby,1.0000,0.0079,0.0187,0.0187,0.1877,NaN,0.1881
nsga2,1.0000,0.0076,0.0291,0.0291,0.1860,NaN,0.1854
moead_linear,2.0000,0.0076,0.0182,0.0182,0.1912,NaN,0.1903
moead_cheby,2.0000,0.0079,0.0187,0.0187,0.1885,NaN,0.1883
moead_mod_linear,2.0000,0.0078,0.0192,0.0192,0.1899,NaN,0.1898
moead_mod_cheby,2.0000,0.0079,0.0205,0.0205,0.1868,NaN,0.1869
nsga2,2.0000,0.0079,0.0266,0.0266,0.1862,NaN,0.1859
moead_linear,3.0000,0.0077,0.0179,0.0179,0.1906,NaN,0.1904
moead_cheby,3.0000,0.0078,0.0188,0.0188,0.1870,NaN,0.1876
moead_mod_linear,3.0000,0.0077,0.0192,0.0192,0.1895,NaN,0.1896
moead_mod_cheby,3.0000,0.0080,0.0187,0.0187,0.1871,NaN,0.1871
nsga2,3.0000,0.0076,0.0300,0.0300,0.1834,NaN,0.1853
moead_linear,4.0000,0.0079,0.0199,0.0199,0.1887,NaN,0.1898
moead_cheby,4.0000,0.0079,0.0180,0.0180,0.1871,NaN,0.1882
moead_mod_linear,4.0000,0.0077,0.0194,0.0194,0.1911,NaN,0.1901
moead_mod_cheby,4.0000,0.0078,0.0193,0.0193,0.1868,NaN,0.1871
nsga2,4.0000,0.0081,0.0306,0.0306,0.1857,NaN,0.1865
moead_linear,5.0000,0.0077,0.0182,0.0182,0.1904,NaN,0.1902
moead_cheby,5.0000,0.0080,0.0188,0.0188,0.1893,NaN,0.1888
moead_mod_linear,5.0000,0.0075,0.0191,0.0191,0.1895,NaN,0.1900
moead_mod_cheby,5.0000,0.0078,0.0190,0.0190,0.1871,NaN,0.1876
nsga2,5.0000,0.0076,0.0290,0.0290,0.1857,NaN,0.1861
moead_linear,6.0000,0.0077,0.0180,0.0180,0.1901,NaN,0.1902
moead_cheby,6.0000,0.0077,0.0176,0.0176,0.1884,NaN,0.1889
moead_mod_linear,6.0000,0.0075,0.0196,0.0196,0.1906,NaN,0.1898
moead_mod_cheby,6.0000,0.0075,0.0191,0.0191,0.1868,NaN,0.1869
nsga2,6.0000,0.0077,0.0266,0.0266,0.1863,NaN,0.1864
moead_linear,7.0000,0.0076,0.0188,0.0188,0.1898,NaN,0.1901
moead_cheby,7.0000,0.0076,0.0180,0.0180,0.1878,NaN,0.1884
moead_mod_linear,7.0000,0.0076,0.0194,0.0194,0.1881,NaN,0.1895
moead_mod_cheby,7.0000,0.0080,0.0198,0.0198,0.1856,NaN,0.1866
nsga2,7.0000,0.0080,0.0297,0.0297,0.1863,NaN,0.1867
moead_linear,8.0000,0.0077,0.0183,0.0183,0.1900,NaN,0.1902
moead_cheby,8.0000,0.0081,0.0193,0.0193,0.1869,NaN,0.1879
moead_mod_linear,8.0000,0.0077,0.0192,0.0192,0.1896,NaN,0.1897
moead_mod_cheby,8.0000,0.0081,0.0189,0.0189,0.1876,NaN,0.1873
nsga2,8.0000,0.0080,0.0242,0.0242,0.1861,NaN,0.1863
moead_linear,9.0000,0.0079,0.0191,0.0191,0.1891,NaN,0.1898
moead_cheby,9.0000,0.0075,0.0184,0.0184,0.1882,NaN,0.1885
moead_mod_linear,9.0000,0.0072,0.0195,0.0195,0.1911,NaN,0.1900
moead_mod_cheby,9.0000,0.0081,0.0194,0.0194,0.1868,NaN,0.1868
nsga2,9.0000,0.0083,0.0286,0.0286,0.1845,NaN,0.1851
moead_linear,10.0000,0.0073,0.0182,0.0182,0.1896,NaN,0.1903
moead_cheby,10.0000,0.0078,0.0189,0.0189,0.1878,NaN,0.1878
moead_mod_linear,10.0000,0.0078,0.0197,0.0197,0.1893,NaN,0.1894
moead_mod_cheby,10.0000,0.0079,0.0200,0.0200,0.1871,NaN,0.1879
nsga2,10.0000,0.0081,0.0255,0.0255,0.1869,NaN,0.1864
moead_linear,11.0000,0.0078,0.0177,0.0177,0.1898,NaN,0.1902
moead_cheby,11.0000,0.0080,0.0196,0.0196,0.1882,NaN,0.1872
moead_mod_linear,11.0000,0.0073,0.0187,0.0187,0.1905,NaN,0.1900
moead_mod_cheby,11.0000,0.0079,0.0201,0.0201,0.1864,NaN,0.1874
nsga2,11.0000,0.0080,0.0261,0.0261,0.1850,NaN,0.1860
moead_linear,12.0000,0.0075,0.0181,0.0181,0.1904,NaN,0.1902
moead_cheby,12.0000,0.0078,0.0186,0.0186,0.1881,NaN,0.1880
moead_mod_linear,12.0000,0.0075,0.0196,0.0196,0.1901,NaN,0.1898
moead_mod_cheby,12.0000,0.0080,0.0185,0.0185,0.1866,NaN,0.1880
nsga2,12.0000,0.0079,0.0307,0.0307,0.1845,NaN,0.1843
moead_linear,13.0000,0.0078,0.0198,0.0198,0.1910,NaN,0.1899
moead_cheby,13.0000,0.0077,0.0180,0.0180,0.1880,NaN,0.1887
moead_mod_linear,13.0000,0.0077,0.0198,0.0198,0.1896,NaN,0.1894
moead_mod_cheby,13.0000,0.0078,0.0189,0.0189,0.1879,NaN,0.1879
nsga2,13.0000,0.0078,0.0270,0.0270,0.1866,NaN,0.1863
