Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles
moead_cheby,1.0000,0.0004,0.0089,0.0089,0.8654,0.8654
moead_linear,1.0000,0.0275,0.0086,0.0275,1.7435,0.8651
moead_mod_cheby,1.0000,0.0007,0.0111,0.0111,0.8627,0.8627
moead_mod_linear,1.0000,0.0006,0.0089,0.0089,0.8649,0.8649
nsga2,1.0000,0.0004,0.0115,0.0115,0.8627,0.8627
moead_cheby,2.0000,0.0073,0.0095,0.0095,0.9997,0.8646
moead_linear,2.0000,0.0334,0.0104,0.0334,1.3073,0.8622
moead_mod_cheby,2.0000,0.0007,0.0090,0.0090,0.8654,0.8654
moead_mod_linear,2.0000,0.0004,0.0088,0.0088,0.8646,0.8646
nsga2,2.0000,0.0004,0.0097,0.0097,0.8644,0.8644
moead_cheby,3.0000,0.0009,0.0096,0.0096,0.8646,0.8646
moead_linear,3.0000,0.0009,0.0095,0.0095,0.8638,0.8638
moead_mod_cheby,3.0000,0.0005,0.0106,0.0106,0.8629,0.8629
moead_mod_linear,3.0000,0.0006,0.0094,0.0094,0.8628,0.8628
nsga2,3.0000,0.0005,0.0097,0.0097,0.8641,0.8641
moead_cheby,4.0000,0.0008,0.0098,0.0098,0.8643,0.8643
moead_linear,4.0000,0.0004,0.0101,0.0101,0.8640,0.8640
moead_mod_cheby,4.0000,0.0005,0.0104,0.0104,0.8635,0.8635
moead_mod_linear,4.0000,0.0006,0.0088,0.0088,0.8652,0.8652
nsga2,4.0000,0.0004,0.0092,0.0092,0.8651,0.8651
moead_cheby,5.0000,0.0009,0.0108,0.0108,0.8633,0.8633
moead_linear,5.0000,0.0316,0.0093,0.0316,1.8530,0.8643
moead_mod_cheby,5.0000,0.0004,0.0108,0.0108,0.8628,0.8628
moead_mod_linear,5.0000,0.0003,0.0091,0.0091,0.8644,0.8644
nsga2,5.0000,0.0004,0.0096,0.0096,0.8645,0.8645
moead_cheby,6.0000,0.0275,0.0107,0.0275,1.3721,0.8630
moead_linear,6.0000,0.0011,0.0098,0.0098,0.8632,0.8632
moead_mod_cheby,6.0000,0.0007,0.0105,0.0105,0.8633,0.8633
moead_mod_linear,6.0000,0.0003,0.0090,0.0090,0.8650,0.8650
nsga2,6.0000,0.0005,0.0099,0.0099,0.8644,0.8644
moead_cheby,7.0000,0.0010,0.0091,0.0091,0.8651,0.8651
moead_linear,7.0000,0.0005,0.0090,0.0090,0.8654,0.8654
moead_mod_cheby,7.0000,0.0005,0.0107,0.0107,0.8629,0.8629
moead_mod_linear,7.0000,0.0003,0.0095,0.0095,0.8635,0.8635
nsga2,7.0000,0.0006,0.0102,0.0102,0.8642,0.8642
moead_cheby,8.0000,0.0013,0.0092,0.0092,0.8651,0.8651
moead_linear,8.0000,0.0045,0.0087,0.0087,0.9799,0.8655
moead_mod_cheby,8.0000,0.0005,0.0100,0.0100,0.8636,0.8636
moead_mod_linear,8.0000,0.0003,0.0087,0.0087,0.8650,0.8650
nsga2,8.0000,0.0004,0.0099,0.0099,0.8642,0.8642
moead_cheby,9.0000,0.0027,0.0103,0.0103,0.8754,0.8640
moead_linear,9.0000,0.0006,0.0101,0.0101,0.8643,0.8643
moead_mod_cheby,9.0000,0.0008,0.0100,0.0100,0.8635,0.8635
moead_mod_linear,9.0000,0.0003,0.0092,0.0092,0.8636,0.8636
nsga2,9.0000,0.0003,0.0097,0.0097,0.8645,0.8645
moead_cheby,10.0000,0.0005,0.0092,0.0092,0.8652,0.8652
moead_linear,10.0000,0.0004,0.0090,0.0090,0.8651,0.8651
moead_mod_cheby,10.0000,0.0004,0.0106,0.0106,0.8631,0.8631
moead_mod_linear,10.0000,0.0005,0.0086,0.0086,0.8652,0.8652
nsga2,10.0000,0.0004,0.0096,0.0096,0.8647,0.8647
moead_cheby,11.0000,0.0014,0.0098,0.0098,0.8645,0.8645
moead_linear,11.0000,0.0013,0.0090,0.0090,0.8651,0.8651
moead_mod_cheby,11.0000,0.0007,0.0121,0.0121,0.8610,0.8610
moead_mod_linear,11.0000,0.0003,0.0092,0.0092,0.8646,0.8646
nsga2,11.0000,0.0004,0.0104,0.0104,0.8637,0.8637
moead_cheby,12.0000,0.0008,0.0098,0.0098,0.8641,0.8641
moead_linear,12.0000,0.0009,0.0094,0.0094,0.8649,0.8649
moead_mod_cheby,12.0000,0.0006,0.0110,0.0110,0.8627,0.8627
moead_mod_linear,12.0000,0.0006,0.0091,0.0091,0.8638,0.8638
nsga2,12.0000,0.0004,0.0090,0.0090,0.8651,0.8651
moead_cheby,13.0000,0.0009,0.0094,0.0094,0.8648,0.8648
moead_linear,13.0000,0.0005,0.0088,0.0088,0.8653,0.8653
moead_mod_cheby,13.0000,0.0008,0.0104,0.0104,0.8632,0.8632
moead_mod_linear,13.0000,0.0004,0.0093,0.0093,0.8645,0.8645
nsga2,13.0000,0.0004,0.0093,0.0093,0.8648,0.8648
moead_cheby,14.0000,0.0130,0.0092,0.0130,1.1061,0.8647
moead_linear,14.0000,0.0012,0.0092,0.0092,0.8648,0.8648
moead_mod_cheby,14.0000,0.0150,0.0101,0.0150,1.5339,0.8633
moead_mod_linear,14.0000,0.0006,0.0091,0.0091,0.8651,0.8651
nsga2,14.0000,0.0004,0.0099,0.0099,0.8637,0.8637
moead_cheby,15.0000,0.0096,0.0093,0.0096,1.2545,0.8650
moead_linear,15.0000,0.0019,0.0088,0.0088,0.8654,0.8654
moead_mod_cheby,15.0000,0.0030,0.0109,0.0109,0.8626,0.8626
moead_mod_linear,15.0000,0.0004,0.0082,0.0082,0.8661,0.8661
nsga2,15.0000,0.0005,0.0101,0.0101,0.8642,0.8642
moead_cheby,16.0000,0.0061,0.0094,0.0094,1.0354,0.8652
moead_linear,16.0000,0.0012,0.0087,0.0087,0.8654,0.8654
moead_mod_cheby,16.0000,0.0006,0.0092,0.0092,0.8648,0.8648
moead_mod_linear,16.0000,0.0004,0.0095,0.0095,0.8646,0.8646
nsga2,16.0000,0.0004,0.0097,0.0097,0.8645,0.8645
moead_cheby,17.0000,0.0006,0.0088,0.0088,0.8654,0.8654
moead_linear,17.0000,0.0009,0.0087,0.0087,0.8655,0.8655
moead_mod_cheby,17.0000,0.0052,0.0099,0.0099,1.0149,0.8639
moead_mod_linear,17.0000,0.0005,0.0090,0.0090,0.8653,0.8653
nsga2,17.0000,0.0006,0.0108,0.0108,0.8631,0.8631
moead_cheby,18.0000,0.0016,0.0098,0.0098,0.8639,0.8639
moead_linear,18.0000,0.0004,0.0085,0.0085,0.8660,0.8660
moead_mod_cheby,18.0000,0.0006,0.0098,0.0098,0.8642,0.8642
moead_mod_linear,18.0000,0.0004,0.0087,0.0087,0.8658,0.8658
nsga2,18.0000,0.0006,0.0104,0.0104,0.8637,0.8637
moead_cheby,19.0000,0.0007,0.0105,0.0105,0.8633,0.8633
moead_linear,19.0000,0.0009,0.0086,0.0086,0.8656,0.8656
moead_mod_cheby,19.0000,0.0006,0.0099,0.0099,0.8639,0.8639
moead_mod_linear,19.0000,0.0004,0.0087,0.0087,0.8653,0.8653
nsga2,19.0000,0.0012,0.0093,0.0093,0.8649,0.8649
moead_cheby,20.0000,0.0006,0.0092,0.0092,0.8654,0.8654
moead_linear,20.0000,0.0005,0.0087,0.0087,0.8656,0.8656
moead_mod_cheby,20.0000,0.0226,0.0094,0.0226,1.4570,0.8645
moead_mod_linear,20.0000,0.0003,0.0090,0.0090,0.8642,0.8642
nsga2,20.0000,0.0006,0.0105,0.0105,0.8640,0.8640
moead_cheby,21.0000,0.0017,0.0091,0.0091,0.8652,0.8652
moead_linear,21.0000,0.0004,0.0087,0.0087,0.8657,0.8657
moead_mod_cheby,21.0000,0.0358,0.0111,0.0358,1.7339,0.8618
moead_mod_linear,21.0000,0.0004,0.0090,0.0090,0.8640,0.8640
nsga2,21.0000,0.0005,0.0095,0.0095,0.8646,0.8646
moead_cheby,22.0000,0.0011,0.0103,0.0103,0.8633,0.8633
moead_linear,22.0000,0.0013,0.0090,0.0090,0.8650,0.8650
moead_mod_cheby,22.0000,0.0007,0.0113,0.0113,0.8622,0.8622
moead_mod_linear,22.0000,0.0006,0.0095,0.0095,0.8644,0.8644
nsga2,22.0000,0.0005,0.0089,0.0089,0.8653,0.8653
moead_cheby,23.0000,0.0005,0.0107,0.0107,0.8631,0.8631
moead_linear,23.0000,0.0020,0.0090,0.0090,0.8649,0.8649
moead_mod_cheby,23.0000,0.0012,0.0108,0.0108,0.8632,0.8632
moead_mod_linear,23.0000,0.0006,0.0090,0.0090,0.8648,0.8648
nsga2,23.0000,0.0005,0.0100,0.0100,0.8641,0.8641
moead_cheby,24.0000,0.0014,0.0100,0.0100,0.8644,0.8644
moead_linear,24.0000,0.0018,0.0089,0.0089,0.8653,0.8653
moead_mod_cheby,24.0000,0.0008,0.0099,0.0099,0.8642,0.8642
moead_mod_linear,24.0000,0.0003,0.0089,0.0089,0.8655,0.8655
nsga2,24.0000,0.0005,0.0090,0.0090,0.8648,0.8648
moead_cheby,25.0000,0.0010,0.0087,0.0087,0.8651,0.8651
moead_linear,25.0000,0.0007,0.0093,0.0093,0.8636,0.8636
moead_mod_cheby,25.0000,0.0018,0.0109,0.0109,0.8631,0.8631
moead_mod_linear,25.0000,0.0005,0.0091,0.0091,0.8637,0.8637
