Algorithm,Run,GD,IGD,Delta,HV_Platemo,HV_Rectangles,HV_HSO
moead_linear,1.0000,0.0005,0.0025,0.0025,0.5402,0.5402,0.5402
moead_cheby,1.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_mod_linear,1.0000,0.0006,0.0125,0.0125,0.5257,0.5257,0.5257
moead_mod_cheby,1.0000,0.0004,0.0027,0.0027,0.5403,0.5403,0.5403
nsga2,1.0000,0.0004,0.0027,0.0027,0.5402,0.5402,0.5402
moead_linear,2.0000,0.0005,0.0028,0.0028,0.5397,0.5397,0.5397
moead_cheby,2.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_mod_linear,2.0000,0.0006,0.0032,0.0032,0.5391,0.5391,0.5391
moead_mod_cheby,2.0000,0.0004,0.0027,0.0027,0.5403,0.5403,0.5403
nsga2,2.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,3.0000,0.0006,0.0115,0.0115,0.5285,0.5285,0.5285
moead_cheby,3.0000,0.0004,0.0024,0.0024,0.5405,0.5405,0.5405
moead_mod_linear,3.0000,0.0006,0.0187,0.0187,0.5174,0.5174,0.5174
moead_mod_cheby,3.0000,0.0004,0.0026,0.0026,0.5404,0.5404,0.5404
nsga2,3.0000,0.0004,0.0025,0.0025,0.5405,0.5405,0.5405
moead_linear,4.0000,0.0004,0.0033,0.0033,0.5393,0.5393,0.5393
moead_cheby,4.0000,0.0004,0.0024,0.0024,0.5406,0.5406,0.5406
moead_mod_linear,4.0000,0.0008,0.0071,0.0071,0.5342,0.5342,0.5342
moead_mod_cheby,4.0000,0.0004,0.0025,0.0025,0.5403,0.5403,0.5403
nsga2,4.0000,0.0004,0.0024,0.0024,0.5404,0.5404,0.5404
moead_linear,5.0000,0.0005,0.0041,0.0041,0.5378,0.5378,0.5378
moead_cheby,5.0000,0.0004,0.0023,0.0023,0.5406,0.5406,0.5406
moead_mod_linear,5.0000,0.0006,0.0028,0.0028,0.5397,0.5397,0.5397
